,tula,tver
a room with tables and chairs,1.0,
a river running through a forest,1.0,
a train is on the side of a building,1.0,
a tower that has a sign on the side of a road,1.0,
a sign on the side of a river,1.0,
a train is coming down the road,1.0,2.0
a path with trees on the side of a river,1.0,
a tree on a hill,1.0,
a long road with grass on the side of a ramp,1.0,
a close up of a motorcycle,1.0,
a herd of sheep walking through a cloudy sky,1.0,
a car parked on a city street,1.0,3.0
a large green field,1.0,1.0
a car parked on the side of a dirt road,1.0,2.0
a house with a mountain in the background,1.0,
a bird sitting on the side of a road,1.0,
a highway with cars parked on the side of a road,1.0,1.0
a house that has a sign on the side of a building,1.0,
a steam train is traveling down the road,1.0,
a train is parked on the side of a building,1.0,
a large brick building with grass and trees,1.0,
a highway with a mountain in the background,1.0,
a sign on the side of a mountain,1.0,2.0
a person riding on the back of a house,1.0,
a man riding a bike down a dirt road,1.0,2.0
calendar,1.0,
a person flying through the air on a mountain road,1.0,
a tree in the middle of a road,1.0,
a highway filled with lots of smoke,1.0,
a tree with a mountain in the background,1.0,
a group of people walking on a road,1.0,
a large building,1.0,1.0
a snow covered road,1.0,2.0
a sign on the side of a tree,1.0,
an empty road with a building in the middle of the street,1.0,
a narrow road with trees on the side of a building,1.0,
a long green grass,1.0,
a person standing next to a tree,1.0,
a house with a cloudy sky,1.0,
a sign on the side of a hill,1.0,
a house in the middle of a road,1.0,2.0
a street filled with traffic next to a highway,1.0,
a room filled with furniture and a book shelf,1.0,
a group of people in a field,1.0,
a fire hydrant on the side of a road,1.0,
a tree in the rain,1.0,
a car parked on pavement near a forest,1.0,
a person riding a bike down a dirt road,1.0,2.0
a large green field with trees in the background,1.0,
a car driving on a city street,1.0,1.0
a long train is coming down the mountain,1.0,
a tree with snow on the ground,1.0,
a bus driving down a street next to tall buildings,1.0,
a large long train on a track,1.0,
a close up of a tower,1.0,
a large city landscape,1.0,
the inside of a building,1.0,
a train is parked on the side of a dirt road,1.0,
a group of people in a forest,1.0,
an empty road with trees in the background,1.0,1.0
a close up of a bridge,1.0,
a group of people walking down the street,1.0,
a view of a house,1.0,1.0
a path with buildings on the side of a dirt road,1.0,
a bus parked on the side of a road,1.0,1.0
a building with graffiti on the side of a ramp,1.0,
a building on the side of the road,1.0,
a truck traveling down a highway,1.0,
a sign on the side of a mountain road,1.0,
a view of a city,1.0,3.0
a path with grass and trees,1.0,
a path with buildings on the side of a road,1.0,
clouds in the sky,1.0,
a group of people standing on the side of a road,1.0,
a person sitting on the side of a road,1.0,
a snow covered field,,4.0
a car parked in a parking lot,,3.0
a sign on the side of a country road,,3.0
a dirt path next to a tree,,3.0
a sunset in the background,,3.0
a train driving down the highway,,2.0
a car driving on a highway,,2.0
a group of people on a beach,,2.0
a long road with grass on the side of the street,,2.0
a sign on the side of the road,,2.0
a path with trees on the side of a hill,,2.0
a person riding a skateboard down the side of a road,,2.0
a boat parked on the side of a road,,2.0
a tree in a forest,,2.0
a plane parked on the side of a road,,2.0
a car parked on the side of a river,,1.0
a close up of a brick building,,1.0
a close up of a beach,,1.0
a smoke on the side of a road,,1.0
a train is on the side of a country road,,1.0
a large building in the middle of a road,,1.0
a car parked on the side of the road,,1.0
a city street with cars parked on the side of a road,,1.0
a person in a forest,,1.0
an empty road with trees on the side of a building,,1.0
a large body of water,,1.0
a path with trees on the side of a dirt field,,1.0
a close up of an umbrella on a tree,,1.0
a close up of a mans face,,1.0
a sign in front of a tree,,1.0
a person riding a skateboard up the side of a building,,1.0
a tree on the side of a river,,1.0
a large tree in a forest,,1.0
a band performing on a counter,,1.0
a bird sitting on top of a building,,1.0
the side of a dirt field,,1.0
a close up of a green fence,,1.0
a group of clouds in the road,,1.0
a narrow city street with cars parked on the side of a road,,1.0
an empty road with grass on the side of the street,,1.0
a close up of a truck,,1.0
a castle sitting on the side of a building,,1.0
a long empty road with trees in the background,,1.0
a narrow dirt road,,1.0
a person riding on top of a building,,1.0
a field of grass,,1.0
a train going down the road,,1.0
a beach next to the road,,1.0
a close up of a person,,1.0
a large long train on a track with smoke coming out of it,,1.0
a group of people standing on top of a sandy beach,,1.0
a train traveling down train tracks near a field,,1.0
a narrow road with a building in the background,,1.0
a close up of an animal,,1.0
a large piece of paper,,1.0
a person riding a skateboard down the side of a building,,1.0
a large truck on a city street,,1.0
a city with smoke coming out of it,,1.0
a view of a city covered in snow,,1.0
a train covered in snow,,1.0
a road with a mountain in the background,,1.0
a vehicle parked on the side of a road,,1.0
a bus driving down a street,,1.0
a sign on a dirt road,,1.0
a bus driving down a dirt road,,1.0
a desert on a dirt track,,1.0
a large building by a road,,1.0
an empty parking lot,,1.0
a train is parked on the side of a mountain,,1.0
a view of a snow covered street,,1.0
a tree on a dirt track,,1.0
a train traveling over a bridge,,1.0
a train on a steel track,,1.0
a house on the side of a building,,1.0
a long train is coming down the road,,1.0
a person riding on top of a snow covered road,,1.0
a car on the side of a road,,1.0
a path with trees on the side of a tree,,1.0
a large long train on a train track with trees in the background,,1.0
a lot of smoke around it,,1.0
